,C061129A1-SR-C1,C060112A1-SR-C1,C060202A4-SR-C1,C061128A3-SR-C1,C060116A4-SR-C1,C060116A1-SR-C1,C061128A1-SR-C1,C061128A4-SR-C1,C061121A1-SR-C1,C061208A2-SR-C1,C060112A6-SR-C1,C061208A3-SR-C1,C060116A6-SR-C1,C060202A2-SR-C1,C060112A4-SR-C1,C070109A4-C1,C060209A3-SR-C1,C060114A6-SR-C1,C060116A7-SR-C1,C060109A1-SR-C1,C080501B2-SR-C1,C060112A7-SR-C1,C061129A3-SR-C1,C060109A3-SR-C1,C060114A5-SR-C1,C060110A2-SR-C1,C060114A7-SR-C1,C060110A3-SR-C1,C060109A2-SR-C1,C060116A3-SR-C1,C061128B1-SR-C1,C060114A4-SR-C1,C061128B2-SR-C1,C060112A3-SR-C1,C060202A1-SR-C1,C061208B2-SR-C1,C080501A5-SR-C1,C061128A5-SR-C1,C061208B1-SR-C1,C060110A5-SR-C1,C060114A2-SR-C1,C060202A6-SR-C1,C060202A5-SR-C1,C060116A5-SR-C1
Threshold current,0.4702,0.275,0.3315,0.4755,0.3157,0.3325,0.5304,0.2226,0.523,0.3478,0.322,0.2754,0.396,0.2929,0.2394,0.3341,0.1478,0.2523,0.2494,0.1805,0.325,0.1623,0.4455,0.2253,0.2438,0.313,0.2529,0.3423,0.3068,0.3609,0.4309,0.2898,0.4901,0.1225,0.2413,0.2522,0.2967,0.3118,0.3087,0.2989,0.2343,0.2274,0.256,0.3592
Holding current,-0.4318,-0.1565,-0.176,-0.34,-0.1326,-0.0771,-0.3653,-0.1186,-0.3208,-0.1269,-0.1698,-0.0854,-0.1529,-0.0886,-0.0621,-0.2676,-0.0879,-0.1367,-0.1032,-0.0241,-0.1412,-0.018,-0.314,-0.1225,-0.0696,-0.0819,-0.1124,-0.103,-0.2023,-0.1736,-0.2092,-0.1192,-0.3669,-0.0464,-0.0576,-0.0818,-0.2782,-0.2633,-0.1098,-0.2022,-0.0722,-0.0534,-0.1357,-0.1637
APWaveform_120.soma.v.AP_height,18.3188,9.9875,17.9729,,,,,,25.1104,,,,,,,,,27.4333,,,,,30.8187,,,,,,,,23.7229,,16.4281,,,,,20.175,,,,,,
APWaveform_120.soma.v.time_to_first_spike,40.25,45.6,37.1333,,,,,,28.1667,,,,,,,,,43.4,,,,,41.6,,,,,,,,46.9333,,33.05,,,,,28.0667,,,,,,
APWaveform_120.soma.v.AP1_peak,18.3188,9.9875,17.9729,,,,,,25.1104,,,,,,,,,27.4333,,,,,30.8187,,,,,,,,23.7229,,16.4281,,,,,20.175,,,,,,
APWaveform_150.soma.v.AP_height,16.7896,,15.7792,,,,,23.175,,19.3958,,,5.3479,14.5875,24.4896,,,,,,20.3083,,29.7891,,24.9125,,,16.7229,,,19.7583,23.3688,,,14.525,6.1437,,19.1396,,,,,,7.4646
APWaveform_150.soma.v.time_to_first_spike,21.3,,20.1,,,,,33.0,,35.2333,,,23.7333,30.5333,34.8,,,,,,31.3333,,23.425,,29.9,,,21.7333,,,23.5,26.7333,,,40.6667,41.4667,,19.6,,,,,,24.1
APWaveform_150.soma.v.AHP_depth_abs,-57.9792,,-61.8667,,,,,,,,,,-56.0271,-66.4229,,,,,,,-63.3729,,-55.6531,,-60.8125,,,-57.4375,,,-57.4813,-62.2312,,,,,,-57.4417,,,,,,-58.4979
APWaveform_150.soma.v.AHP_depth,24.883,,20.1059,,,,,,,,,,27.3622,15.8698,,,,,,,19.7132,,26.3276,,22.2049,,,25.7465,,,25.4795,20.9264,,,,,,25.5514,,,,,,25.6799
APWaveform_150.soma.v.fast_AHP,-32.4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5208,,,,,,,2.5146,,,,,,
